SJF,VN000000SJF6,BBG00H0JKDH1,"16,40","14,30","15,35","15,70","15,00","-0,35","-2,28","14,85","16,00","15,41","27.431,00","42.276,55"
SJS,VN000000SJS9,BBG000PT9TZ7,"90,70","78,90","84,80","85,00","85,60","0,80","0,94","85,00","87,00","85,87","408,00","3.503,68"
SKG,VN000000SKG2,BBG006JBZKR9,"25,55","22,25","23,90","24,05","24,00","0,10","0,42","23,20","24,30","23,98","14.840,00","35.583,59"
SMA,VN000000SMA1,BBG00170KPB9,"11,80","10,30","11,05","11,05","11,00","-0,05","-0,45","10,30","11,05","10,53","485,00","510,83"
SMB,VN000000SMB9,BBG0014WQCL4,"44,40","38,60","41,50","41,80","41,60","0,10","0,24","41,50","41,80","41,54","28,00","116,32"
SMC,VN000000SMC7,BBG000DNHW50,"42,70","37,20","39,95","40,35","40,20","0,25","0,63","39,90","40,40","40,13","2.375,00","9.531,73"
SPM,VN000000SPM9,BBG000BXHW05,"23,25","20,25","21,75","21,70","22,00","0,25","1,15","21,05","22,05","21,78","171,00","372,43"
SRC,VN000000SRC6,BBG000BDVD96,"20,65","17,95","19,30","19,20","19,40","0,10","0,52","19,20","19,40","19,32","163,00","314,92"
SRF,VN000000SRF9,BBG000D0BT26,"19,45","16,95","18,20","18,90","18,30","0,10","0,55","18,00","18,90","18,42","290,00","534,20"
SSB,VN000000SSB6 ,BBG009CXDMM7,"40,30","35,10","37,70","37,70","37,80","0,10","0,27","37,10","37,80","37,53","17.725,00","66.516,52"
SSC,VN000000SSC4,BBG000Q5LYX5,"41,15","35,85","38,50","0,00","0,00","-38,50","-100,00","0,00","0,00","0,00","0,00","0,00"
SSI,VN000000SSI1,BBG000BN4F44,"46,85","40,75","43,80","44,45","43,80","0,00","0,00","43,80","44,45","44,12","47.170,00","208.133,61"
ST8,VN000000ST84,BBG000V0CKG9,"12,80","11,20","12,00","12,05","12,80","0,80","6,67","12,00","12,80","12,52","153,00","191,49"
STB,VN000000STB4,BBG000D7H4Y5,"35,20","30,60","32,90","33,00","32,80","-0,10","-0,30","32,65","33,15","32,87","108.848,00","357.763,59"
STG,VN000000STG3,BBG000QCZXG6,"31,00","27,00","29,00","29,00","29,00","0,00","0,00","29,00","29,35","29,13","54,00","157,28"
STK,VN000000STK5,BBG00B06W3Q1,"58,80","51,20","55,00","55,40","54,90","-0,10","-0,18","54,60","55,40","54,91","166,00","911,43"
SVC,VN000000SVC8,BBG000QRLCQ3,"119,00","103,60","111,30","111,30","111,30","0,00","0,00","111,30","111,30","111,30","1,00","11,13"
SVD,VN000000SVD6 ,BBG00YNMBPM9,"13,65","11,95","12,80","12,80","12,40","-0,40","-3,13","12,40","13,10","12,78","1.565,00","1.999,65"
SVI,VN000000SVI5,BBG000GN2XC3,"76,60","66,60","71,60","0,00","0,00","-71,60","-100,00","0,00","0,00","0,00","0,00","0,00"
SVT,VN000000SVT2,BBG0022D5X60,"21,50","18,70","20,10","20,45","20,10","0,00","0,00","20,10","20,45","20,14","119,00","239,62"
SZC,VN000000SZC9,BBG00FM26TY0,"77,50","67,50","72,50","73,00","74,00","1,50","2,07","72,80","74,20","73,57","5.932,00","43.642,94"
SZL,VN000000SZL0,BBG000BNY437,"74,60","65,00","69,80","69,00","69,10","-0,70","-1,00","68,00","69,80","68,63","72,00","494,13"
TAC,VN000000TAC0,BBG000QMX185,"71,20","62,00","66,60","64,60","66,20","-0,40","-0,60","64,50","66,60","65,57","54,00","354,06"
TBC,VN000000TBC8,BBG000QRLW98,"33,25","28,95","31,10","31,15","31,70","0,60","1,93","31,15","31,80","31,58","128,00","404,26"
TCB,VN000000TCB8,BBG000CD0060,"52,40","45,65","49,05","49,45","49,00","-0,05","-0,10","49,00","49,50","49,16","32.492,00","159.734,56"
TCD,VN000000TCD4,BBG00GQKNWX9,"27,75","24,15","25,95","26,20","27,00","1,05","4,05","26,10","27,30","26,91","40.218,00","108.231,97"
TCH,VN000000TCH5,BBG00DVPC846,"21,90","19,10","20,50","20,85","20,75","0,25","1,22","20,60","21,25","20,88","34.938,00","72.943,81"
TCL,VN000000TCL7,BBG000Q2M911,"44,60","38,80","41,70","41,20","41,20","-0,50","-1,20","41,00","41,70","41,16","1.085,00","4.465,70"
TCM,VN000000TCM5,BBG000TJ58L0,"77,00","67,00","72,00","72,00","71,90","-0,10","-0,14","70,90","72,70","71,67","8.938,00","64.054,79"
TCO,VN000000TCO1,BBG000PGSY38,"21,80","19,00","20,40","20,40","20,00","-0,40","-1,96","19,85","21,00","20,19","2.383,00","4.811,00"
TCR,VN000000TCR4,BBG000QN5CR9,"7,91","6,89","7,40","7,40","7,40","0,00","0,00","7,30","7,50","7,40","70,00","51,77"
TCT,VN000000TCT0,BBG000KQRJV4,"48,95","42,55","45,75","45,75","45,60","-0,15","-0,33","42,55","45,75","43,61","619,00","2.699,72"
TDC,VN000000TDC4,BBG000QSB5B3,"25,10","21,90","23,50","23,40","23,60","0,10","0,43","23,40","24,00","23,76","4.732,00","11.242,47"
TDG,VN000000TDG5,BBG00G268MD7,"12,60","11,00","11,80","11,80","11,60","-0,20","-1,69","11,50","11,80","11,60","4.145,00","4.807,36"
TDH,VN000000TDH3,BBG000QGMH85,"11,85","10,35","11,10","11,70","10,90","-0,20","-1,80","10,90","11,70","11,00","6.369,00","7.005,17"
